SampleID;Latitude;Longitude;Locality;Reference;Sampling_effort;Traps;Study_year;Country;Ecorregion;Vegetation_type;Division;;;;;;;;;;;;;;
89;-22.46667;-42.65000;Fazenda Relógio do Sol, Serra dos Órgãos;R. Cerqueira unpublished data;900;sherman, wire-mesh;1996-1998;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
90;-22.46667;-42.98333;Garrafão, Parque Nacional da Serra dos Órgãos;Prevedello et al. 2008;69525;sherman, wire-mesh (2 sizes);1997-2007;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
91;-22.48364;-41.89796;Área de Relevante Interesse Ecológico Itapebussus;Almada 2015;1981;sherman, wire-mesh, pitfall;2013-2014;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
92;-22.48590;-42.95902;Parque da Caneca Fina, Serra dos Órgãos;R. Cerqueira unpublished data;900;sherman, wire-mesh;1996-1998;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
93;-22.48685;-43.11278;Sede Petrópolis, Parque Nacional da Serra dos Órgãos;A. C. Delciellos and R. Gentile unpublished data;5800;sherman, wire-mesh, pitfall;2014-2015;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
94;-22.54389;-42.30694;Portuense, Reserva Biológica Poço das Antas;Viveiros de Castro 2002;5520;sherman, wire-mesh;2000-2001;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
95;-22.54389;-42.30694;Osmarina, Reserva Biológica Poço das Antas;Pereira 1991;6210;sherman, wire-mesh (2 sizes);1988-1989;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
96;-22.58333;-42.25528;Ilhas dos Barbados, Reserva Biológica Poço das Antas;Oliveira 2001;7712;sherman, wire-mesh;1998-1999;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
97;-22.61389;-42.86667;sites de Mata Contínua, Serra dos Órgãos;Vieira et al. 2009;1200;sherman, wire-mesh;1999-2001;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
98;-22.61944;-42.81389;fragmentos de mata na Bacia do Rio Macacu;Vieira et al. 2009;12600;sherman, wire-mesh;1999-2001 / 2005-2007;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
99;-22.71667;-46.91667;Pedreira;Bonvicino et al. 2002;1830;sherman, wire-mesh;1996-1997;Brazil;Serra do Mar coastal forests;Savannah/Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
100;-22.73542;-44.61678;Parque Nacional da Serra da Bocaina;Moraes et al. 2003;3200;sherman;1999-2001;Brazil;Campos Rupestres montane savanna;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
101;-22.77222;-53.26694;Ilha Mutum;Gomes 2009;2520;wire-mesh;2008;Brazil;Alto Paraná Atlantic forests;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
102;-22.89583;-42.86250;Restinga de Barra de Maricá;Cerqueira et al. 1990;5250;wire-mesh (2 sizes);1985-1988;Brazil;Serra do Mar coastal forests;Marine-influenced pioneer formation area;Serra do Mar;;;;;;;;;;;;;;
103;-22.94056;-43.44111;Parque Estadual da Pedra Branca;Oliveira et al. 2010;13200;sherman, wire-mesh (2 sizes);2005-2007;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
104;-22.99232;-44.09793;Fazenda Bom Jardim;R. Cerqueira unpublished data;1860;sherman, wire-mesh, pitfall;2005;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
105;-23.16667;-44.24167;Vila Dois Rios;Martins-Hatano et al. 2002;7200;sherman,  wire-mesh (2 sizes) ;1998-1999;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
106;-23.16667;-44.24167;Vila Dois Rios;Bittencourt & Rocha 2003;7474;sherman, wire-mesh;1996-1997;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
107;-23.19861;-44.84000;Parque Nacional da Serra da Bocaina;Delciellos et al. 2012;1235;sherman, wire-mesh, pitfall;2010-2011;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
108;-23.33333;-48.45000;Alto Paranapanema;Martin et al. 2012;4977;pitfall;2007-2009;Brazil;Cerrado;Savannah;Interior forests;;;;;;;;;;;;;;
109;-23.35000;-44.83333;Picinguaba;Pinheiro & Geise 2008;2192;sherman, wire-mesh, pitfall;2002;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
110;-23.37500;-45.16667;Núcleo Santa Virginia;Neves 2010;6840;sherman (3 sizes), wire-mesh, pitfall;2008-2009;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
111;-23.54583;-46.93472;Planalto Paulistano;Barros-Battesti et al. 2000;2888;wire-mesh (2 sizes);1995-1996;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
112;-23.58139;-47.52444;campus UFSCAR Sorocaba;Galvão 2012;1680;sherman (2 sizes), wire-mesh;2010-2011;Brazil;Alto Paraná Atlantic forests;Savannah/Dense ombrophilous forest;Interior forests;;;;;;;;;;;;;;
113;-23.65000;-47.01667;Reserva Florestal do Morro Grande;Naxara et al. 2009;2700;pitfall;2004-2005;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
114;-23.69018;-46.95310;Reserva Florestal do Morro Grande;Barros 2013;55440;sherman, pitfall;2008-2009;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
115;-23.70000;-46.98333;Reserva Florestal do Morro Grande;Pardini & Umetsu 2006;8160;sherman, pitfall;2003-2004;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
116;-23.70833;-46.91667;Planalto Cristalino de Ibiúna, Caucaia do Alto;Umetsu 2005;35360;sherman, pitfall;2002-2005;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
117;-23.87917;-47.49625;Planalto de Ibiúna;Naxara 2007;20736;sherman (2 sizes), wire-mesh, pitfall;2006-2007;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
118;-23.91361;-47.68861;Fazenda João XXIII, Eucatex S/A Industria e Comercio, Área de Proteção Ambiental da Serra do Tapiraí;Silva 2001;10860;wire-mesh, pitfall;1998-1999;Brazil;Serra do Mar coastal forests;Savannah/Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
119;-24.14900;-55.43200;Mbaracayú Natural Forest Reserve;de la Sancha 2014;31600;sherman, guillotine, pitfall;2006-2009;Paraguay;Alto Paraná Atlantic forests;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
120;-24.16139;-48.35083;Pedreira Limeira;Leiner & Silva 2012;6120;sherman, pitfall;2005-2008;Brazil;Alto Paraná Atlantic forests;Mixed ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
121;-24.20057;-48.42607;Fazenda Intermontes;Leiner 2009;12000;sherman;2006-2007;Brazil;Alto Paraná Atlantic forests;Savannah/Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
122;-24.23333;-48.06667;Saibadela;Vieira 1999;17361;sherman, wire-mesh;1995-1997;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
123;-24.28333;-48.35000;Barra Grande;Vieira 1999;4417;sherman, wire-mesh;1996-1997;Brazil;Alto Paraná Atlantic forests;Savannah/Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
124;-24.53333;-47.25000;Estação Ecológica Juréia-Itatins;Bergallo 1994;4307;wire-mesh;1989-1990;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
125;-24.57278;-49.92639;FLONA Piraí do Sul;Grazzini et al. 2015;5892;sherman, wire-mesh (2 sizes), pitfall;2012-2013;Brazil;Araucaria moist forest;Mixed ombrophilous forest;Araucária forests;;;;;;;;;;;;;;
126;-24.71300;-55.43800;Morombí Natural Private Reserve;de la Sancha 2014;31600;sherman, guillotine, pitfall;2006-2009;Paraguay;Alto Paraná Atlantic forests;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
127;-24.81600;-54.46700;Limoy Biological Reserve;de la Sancha 2014;31600;sherman, guillotine, pitfall;2006-2009;Paraguay;Alto Paraná Atlantic forests;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
128;-25.05139;-47.89667;Ilha do Cardoso;Bittencourt et al. 1999;1530;not informed;1993-1994;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
129;-25.07527;-53.66635;Parque Nacional do Iguaçu;Ferracioli 2013;5760;sherman;2012-2013;Brazil;Araucaria moist forest;Mixed ombrophilous forest;Interior forests;;;;;;;;;;;;;;
130;-25.43333;-48.91667;Parque Estadual Pico do Marumbi;Cerboncini et al. 2014;5600;sherman (2 sizes), wire-mesh, pitfall;2011;Brazil;Araucaria moist forest;Mixed ombrophilous forest;Araucária forests;;;;;;;;;;;;;;
131;-25.67130;-48.61194;Parque Nacional Saint-Hilare/Lange;Mochi-Jr. 2014;3674;sherman (3 sizes), wire-mesh (3 sizes), pitfall;2012-2013;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
132;-25.91667;-49.40000;fazenda Panagro;Barros-Battesti et al. 1998;720;sherman;1990-1991;Brazil;Araucaria moist forest;Mixed ombrophilous forest;Araucária forests;;;;;;;;;;;;;;
133;-26.20833;-50.20833;Floresta Nacional Três Barras;Wallauer et al. 2000;900;wire-mesh;1997;Brazil;Araucaria moist forest;Mixed ombrophilous forest;Araucária forests;;;;;;;;;;;;;;
134;-26.26861;-48.53278;Parque Estadual Acaraí;Balieiro et al. 2014;2940;Sherman, wire-mesh;2012;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
135;-26.42750;-51.31556;General Carneiro;Teixeira et al. 2014;13500;sherman, wire-mesh;2009-2011;Brazil;Araucaria Moist forest;Mixed ombrophilous forest;Araucária forests;;;;;;;;;;;;;;
136;-26.45900;-55.75800;San Rafael Managed Resource Reserve;de la Sancha 2014;31600;sherman, guillotine, pitfall;2006-2009;Paraguay;Alto Paraná Atlantic forests;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
137;-27.10444;-54.97384;Valle del Cuña Pirú Reserve;Cirignoli et al. 2011;5319;sherman, wire-mesh (2 sizes), guillotine;1996-2003;Argentina;Alto Paraná Atlantic forests;Deciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
138;-27.13333;-52.71667;Chapecó;Maestri et al. 2014;6500;pitfall;2011-2012;Brazil;Alto Paraná Atlantic forests;Deciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
139;-27.16667;-53.91667;Parque Estadual do Turvo;Melo et al. 2011;6936;sherman, wire-mesh, pitfall;2008-2009;Brazil;Alto Paraná Atlantic forests;Deciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
140;-27.71667;-48.53333;Parque Municipal da Lagoa do Peri;Graipel et al. 2006;12132;wire-mesh (2 sizes);1998-2000;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
141;-27.73056;-48.80917;Hotel e Resort Plaza Caldas das Imperatriz;Dias 2013;840;pitfall;2010-2011;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
142;-27.73333;-48.80000;Parque Estadual da Serra do Tabuleiro;Voltolini 1997;15400;wire-mesh;1991-1994;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
143;-27.75000;-52.99167;bacia do rio da Várzea;Peters et al. 2010;1270;wire-mesh;2008-2009;Brazil;Araucaria moist forest;Mixed ombrophilous forest;Araucária forests;;;;;;;;;;;;;;
144;-27.83861;-48.59167;Baixada do Maciambu;Dias 2013;1920;pitfall;2010-2011;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
145;-28.31167;-52.18806;Floresta Nacional de Passo Fundo;Coghetto et al. 2014;1680;wire-mesh (2 sizes);2008;Brazil;Araucaria moist forest;Mixed ombrophilous forest;Araucária forests;;;;;;;;;;;;;;
146;-28.33333;-52.16667;Parque Nacional de Passo Fundo;Galiano et al. 2014;11088;wire-mesh;2008-2009;Brazil;Araucaria moist forest;Mixed ombrophilous forest;Araucária forests;;;;;;;;;;;;;;
147;-29.16667;-50.08333;Parque Nacional dos Aparados da Serra;Dalmagro & Vieira 2005;5178;sherman (2 sizes), wire-mesh (2 sizes);2000-2001;Brazil;Araucaria Moist forest;Mixed ombrophilous forest;Araucária forests;;;;;;;;;;;;;;
148;-29.36435;-49.76366;Parque Estadual de Itapeva;Horn 2005;5548;wire-mesh (2 sizes);2004;Brazil;Atlantic coast restingas;Marine-influenced pioneer formation area;Serra do Mar;;;;;;;;;;;;;;
149;-29.41667;-50.37500;Floresta Nacional São Francisco de Paula;Prevedello 2013;13760;sherman, wire-mesh;2010;Brazil;Araucaria moist forest;Mixed ombrophilous forest;Araucária forests;;;;;;;;;;;;;;
150;-29.46667;-50.20833;Centro de Pesquisas e Conservação da Natureza Pró-Mata;Pedó et al. 2010;2327;wire-mesh;2004;Brazil;Araucaria moist forest;Mixed ombrophilous forest;Araucária forests;;;;;;;;;;;;;;
151;-29.48333;-50.20000;Centro de Pesquisas e Conservação da Natureza Pró-Mata;Abreu & Oliveira 2014;3047;sherman, wire-mesh;2011;Brazil;Araucaria moist forest;Mixed ombrophilous forest;Araucária forests;;;;;;;;;;;;;;
152;-29.65889;-50.21278;Estação de Pesquisa e Produção de Maquiné;Velho 1998;12000;wire-mesh;1996-1997;Brazil;Araucaria moist forest;Mixed ombrophilous forest;Araucária forests;;;;;;;;;;;;;;
153;-29.66667;-53.71667;Morro do Elefante;Lima et al. 2010;3920;wire-mesh, pitfall;2005;Brazil;Alto Paraná Atlantic forests;Deciduous seasonal forest;Araucária forests;;;;;;;;;;;;;;
154;-29.66667;-53.71667;Morro do Elefante;Melo et al. 2013;3920;wire-mesh;2006-2008;Brazil;Alto Paraná Atlantic forests;Deciduous seasonal forest;Araucária forests;;;;;;;;;;;;;;
155;-29.79139;-53.84861;Campo de Instrução de Santa Maria;Finokiet et al. 2007;7420;wire-mesh (2 sizes), pitfall;2006;Brazil;Uruguayan savanna;Deciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
156;-30.23333;-51.03333;Lar Nazaré;Cademartori et al. 2008;1165;wire-mesh (2 sizes);2006-2007;Brazil;Uruguayan savanna;Steppe/Deciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
157;-31.80000;-52.41667;Horto Botânico Irmão Teodoro Luis;Langone 2007;1215;wire-mesh (2 sizes);2006-2007;Brazil;Uruguayan savanna;Fluviomarine-influenced pioneer formation area;Interior forests;;;;;;;;;;;;;;
158;-32.11667;-52.15000;Mata da Estrada Velha;Quintela et al. 2012;5376;wire-mesh (4 sizes);2008;Brazil;Atlantic coast restingas;Marine-influenced pioneer formation area;Interior forests;;;;;;;;;;;;;;
159;-32.15000;-52.18333;Arroio Bolacha;Quintela et al. 2012;5376;wire-mesh (4 sizes);2008;Brazil;Atlantic coast restingas;Marine-influenced pioneer formation area;Interior forests;;;;;;;;;;;;;;
160;-6.74000;-35.14583;Reserva Biological Guaribas;IBAMA 2003;845;wire-mesh, pitfall;2002;Brazil;Pernambuco interior forest;Semideciduous seasonal forest;Pernambuco;;;;;;;;;;;;;;
161;-19.83333;-42.46667;Companhia Agro-Florestal Santa Bárbara, Dionísio;Fonseca 1997;5600;sherman, wire-mesh;1994-1995;Brazil;Bahia interior forest;Semideciduous seasonal forest;Interior forests;;;;;;;;;;;;;;
162;-15.39750;-39.55222;RPPN Serra Bonita;Garcia 2012;8320;sherman, wire-mesh, pitfall;2010-2011;Brazil;Bahia coastal forest;Dense ombrophilous forest;Bahia;;;;;;;;;;;;;;
163;-22.65512;-42.81526;Complexo Petroquímico do Rio de Janeiro;Grelle et al. 2014;1200;sherman, wire-mesh;2010;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
164;-23.13672;-44.18793;Ilha Grande - RAPELD - L1 500;H. G. Bergallo and M. Kajin unpublished data;875;sherman, wire-mesh (2 sizes);2013-2016;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
165;-23.14270;-44.18899;Ilha Grande - RAPELD - L1 1500;H. G. Bergallo and M. Kajin unpublished data;875;sherman, wire-mesh (2 sizes);2013-2016;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
166;-23.15148;-44.18902;Ilha Grande - RAPELD - L1 2500;H. G. Bergallo and M. Kajin unpublished data;875;sherman, wire-mesh (2 sizes);2013-2016;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
167;-23.16355;-44.18890;Ilha Grande - RAPELD - L1 3500;H. G. Bergallo and M. Kajin unpublished data;1000;sherman, wire-mesh (2 sizes);2013-2016;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
168;-23.17270;-44.18836;Ilha Grande - RAPELD - L1 4500;H. G. Bergallo and M. Kajin unpublished data;1000;sherman, wire-mesh (2 sizes);2013-2016;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
169;-23.13592;-44.17920;Ilha Grande - RAPELD - L2 500;H. G. Bergallo and M. Kajin unpublished data;875;sherman, wire-mesh (2 sizes);2013-2016;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
170;-23.14559;-44.17958;Ilha Grande - RAPELD - L2 1500;H. G. Bergallo and M. Kajin unpublished data;875;sherman, wire-mesh (2 sizes);2013-2016;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
171;-23.15401;-44.17797;Ilha Grande - RAPELD - L2 2500;H. G. Bergallo and M. Kajin unpublished data;1000;sherman, wire-mesh (2 sizes);2013-2016;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
172;-23.16710;-44.18096;Ilha Grande - RAPELD - L2 3500;H. G. Bergallo and M. Kajin unpublished data;1000;sherman, wire-mesh (2 sizes);2013-2016;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
173;-23.17333;-44.17946;Ilha Grande - RAPELD - L2 4500;H. G. Bergallo and M. Kajin unpublished data;1000;sherman, wire-mesh (2 sizes);2013-2016;Brazil;Serra do Mar coastal forests;Dense ombrophilous forest;Serra do Mar;;;;;;;;;;;;;;
